category_id	name
124	Unicycles
125	Motorized Bicycles (DIY)
127	Engine Kit Parts
128	Electrical
129	Fuel Components
131	Gaskets and Seals
132	Wheels & Brakes
133	Baskets, Racks & Bags
134	Bicycle Engine Kits
135	Performance
136	Clearance
137	Wholesale Engine Kits
138	Helmets
139	Seat & Seat Covers
140	Cylinder Head
141	Tools & Chemicals
142	Handlebars & Grips
143	Lights, Horns & Bells
144	Bike Locks
145	Kickstands
147	Bicycle Mirrors
148	Fenders & Forks
149	Cranks & Pedals
150	Apparel
151	 4-Stroke Parts
152	Gas Engine Kits
153	Electric Motor Kits
154	Accessories
155	Freestyle BMX
157	Kids Bikes
158	Road Bikes
160	Men's Beach Cruisers
161	Full Suspension
162	Hard Tail
163	Crankcase
164	Drivetrain
165	Classic Bikes
166	Fixed-Gear Bikes
167	Folding Bikes
168	View All Parts
169	Tandem/Triplet Bikes
170	2-Stroke Clutch
171	Exhaust
172	Chopper Bikes
173	Women's Beach Cruisers
174	Mini Dirt Bikes
